Tahun,Provinsi,Nilai Investasi
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,132000000000
2010,Sumatera Utara,70000000000
2010,Sumatera Utara,0
2010,Sumatera Utara,16557700000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,10500000000
2010,Sumatera Utara,859800000
2010,Sumatera Utara,0
2010,Sumatera Utara,10575000000
2010,Sumatera Utara,0
2010,Sumatera Utara,12411700000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,32816800000
2010,Sumatera Utara,918000000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,5500500000
2010,Sumatera Utara,0
2010,Sumatera Utara,123745800000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,500000000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,3320000000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,1563900000
2010,Sumatera Utara,2527300000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,60127200000
2010,Sumatera Utara,31263300000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,5737500000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,88747900000
2010,Sumatera Utara,29100000
2010,Sumatera Utara,189925800000
2010,Sumatera Utara,38438800000
2010,Sumatera Utara,0
2010,Sumatera Utara,16929000000
2010,Sumatera Utara,6615000000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,5011400000
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,0
2010,Sumatera Utara,7404200000
2010,Sumatera Utara,4500000
2010,Sumatera Utara,0
2010,Sumatera Utara,1623000000
2010,Sumatera Utara,53598500000
