kab_id,provinsi_id,nama_kabupaten,latitude,longitude
1101,11,KAB. ACEH SELATAN,3.25480164,97.17411234
1102,11,KAB. ACEH TENGGARA,3.47335985,97.81924348
1103,11,KAB. ACEH TIMUR,4.93273689,97.78384436
1104,11,KAB. ACEH TENGAH,4.62205719,96.84566791
1105,11,KAB. ACEH BARAT,4.15301022,96.13144067
1106,11,KAB. ACEH BESAR,5.29733955,95.61087104
1107,11,KAB. PIDIE,5.36760046,95.95788011
1108,11,KAB. ACEH UTARA,5.07571569,97.30262387
1109,11,KAB. SIMEULUE,2.46141255,96.38037740
1110,11,KAB. ACEH SINGKIL,2.27109397,97.81532537
1111,11,KAB. BIREUEN,5.20756489,96.72640340
1112,11,KAB. ACEH BARAT DAYA,3.73910333,96.85150507
1113,11,KAB. GAYO LUES,3.99346518,97.32450169
1114,11,KAB. ACEH JAYA,4.62413183,95.61681174
1115,11,KAB. NAGAN RAYA,4.16942681,96.32437394
1116,11,KAB. ACEH TAMIANG,4.30127576,98.04571548
1117,11,KAB. BENER MERIAH,4.70276211,96.86195267
1118,11,KAB. PIDIE JAYA,5.22889944,96.24475688
1171,11,KOTA BANDA ACEH,5.55004986,95.31782670
1172,11,KOTA SABANG,5.89265638,95.32111720
1173,11,KOTA LHOKSEUMAWE,5.17936362,97.14894011
1174,11,KOTA LANGSA,4.46948211,97.96644605
1175,11,KOTA SUBULUSSALAM,2.67079176,97.99301167
1201,12,KAB. TAPANULI TENGAH,1.68469034,98.82771720
1202,12,KAB. TAPANULI UTARA,2.02184966,98.96179137
1203,12,KAB. TAPANULI SELATAN,1.51966193,99.30284312
1204,12,KAB. NIAS,1.24175450,97.64991803
1205,12,KAB. LANGKAT,3.74268648,98.44753522
1206,12,KAB. KARO,3.11067969,98.50133488
1207,12,KAB. DELI SERDANG,3.55071894,98.86644224
1208,12,KAB. SIMALUNGUN,2.96534861,98.86209970
1209,12,KAB. ASAHAN,2.98810578,99.61283579
1210,12,KAB. LABUHANBATU,2.07009000,99.85708629
1211,12,KAB. DAIRI,2.74796726,98.31396935
1212,12,KAB. TOBA SAMOSIR,2.33180094,99.05102147
1213,12,KAB. MANDAILING NATAL,0.79672626,99.57880901
1214,12,KAB. NIAS SELATAN,0.58337732,97.77788469
1215,12,KAB. PAKPAK BHARAT,2.54105418,98.32258850
1216,12,KAB. HUMBANG HASUNDUTAN,2.25027929,98.79045401
1217,12,KAB. SAMOSIR,2.55987089,98.72238865
1218,12,KAB. SERDANG BEDAGAI,3.49126509,99.12592028
1219,12,KAB. BATU BARA,3.17177519,99.42098071
1220,12,KAB. PADANG LAWAS UTARA,1.49454939,99.61970881
1221,12,KAB. PADANG LAWAS,1.05558978,99.77552009
1222,12,KAB. LABUHANBATU SELATAN,1.86822117,100.04114556
1223,12,KAB. LABUHANBATU UTARA,2.56284879,99.65806864
1224,12,KAB. NIAS UTARA,1.38932243,97.38136186
1225,12,KAB. NIAS BARAT,0.99896255,97.49525171
1271,12,KOTA MEDAN,3.59024553,98.67497243
1272,12,KOTA PEMATANGSIANTAR,2.95649628,99.06182099
1273,12,KOTA SIBOLGA,1.74602064,98.77558765
1274,12,KOTA TANJUNG BALAI,2.94775446,99.76671856
1275,12,KOTA BINJAI,3.60297746,98.48318147
1276,12,KOTA TEBING TINGGI,3.32756511,99.16631752
1277,12,KOTA PADANG SIDEMPUAN,1.37764517,99.27144602
1278,12,KOTA GUNUNGSITOLI,1.28264056,97.61346303
1301,13,KAB. PESISIR SELATAN,-1.34801575,100.57771703
1302,13,KAB. SOLOK,-0.95157096,100.62136386
1303,13,KAB. SIJUNJUNG,-0.66578146,100.94461004
1304,13,KAB. TANAH DATAR,-0.47436500,100.62341833
1305,13,KAB. PADANG PARIAMAN,-0.62099815,100.30654187
1306,13,KAB. AGAM,-0.31519324,100.02965550
1307,13,KAB. LIMA PULUH KOTA,-0.15239397,100.66073827
1308,13,KAB. PASAMAN,0.14039089,100.16698745
1309,13,KAB. KEPULAUAN MENTAWAI,-2.05415590,99.58047028
1310,13,KAB. DHARMASRAYA,-0.95298560,101.49411275
1311,13,KAB. SOLOK SELATAN,-1.55622109,101.23950314
1312,13,KAB. PASAMAN BARAT,0.11037800,99.82778739
1371,13,KOTA PADANG,-0.87587704,100.38728839
1372,13,KOTA SOLOK,-0.79948147,100.65278211
