nama_provinsi,kode_provinsi,nama_kabupaten,kode_kabupaten,nama_kecamatan,kode_kecamatan,nama_desa,kode_desa
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Pasar Batu Gerigis,12.01.01.1001
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Padang Masiang,12.01.01.1002
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Kampung Solok,12.01.01.2003
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Pasar Terandam,12.01.01.2004
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Sigambo Gambo,12.01.01.2005
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Ujung Batu,12.01.01.2006
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Kinali,12.01.01.2007
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Kampung Mudik,12.01.01.2008
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Aek Dakka,12.01.01.2009
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Patupangan,12.01.01.2010
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Gabungan Hasang,12.01.01.2011
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Bungo Tanjung,12.01.01.2017
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Barus,12.01.01,Kedai Gedang,12.01.01.2018
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Sorkam,12.01.02.1001
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Pargarutan,12.01.02.1002
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Teluk Roban,12.01.02.2003
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Tarutung Bolak,12.01.02.1004
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Fajar,12.01.02.2005
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Pardamean,12.01.02.2006
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Pelita,12.01.02.2007
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Rianiate,12.01.02.2008
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Naipospos Barat,12.01.02.1009
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Gonting Mahe,12.01.02.2010
SUMATERA UTARA,12,KAB. TAPANULI TENGAH,12.01,Sorkam,12.01.02,Dolok Pantis,12.01.02.2011
