ID,Kode Kategori,Kode Kelompok,Uraian Kelompok,Kode Subkelompok,Uraian Subkelompok,HS Code,Uraian Barang
0,01,01.01,"Kuda, keledai, bagal, hinnie, hidup",,,0101.21.00,Bibit
2,01,01.01,"Kuda, keledai, bagal, hinnie, hidup",,,0101.29.00,Lain-lain
3,01,01.01,"Kuda, keledai, bagal, hinnie, hidup",0101.30,Keledai,0101.30.10,Bibit
4,01,01.01,"Kuda, keledai, bagal, hinnie, hidup",0101.30,Keledai,0101.30.90,Lain-lain
5,01,01.01,"Kuda, keledai, bagal, hinnie, hidup",0101.30,Keledai,0101.90.00,Lain-lain
6,01,01.02,Binatang hidup jenis lembu.,,Sapi,0102.21.00,Bibit
7,01,01.02,Binatang hidup jenis lembu.,,-,0102.29.11,Oxen
8,01,01.02,Binatang hidup jenis lembu.,,-,0102.29.19,Lain-lain
9,01,01.02,Binatang hidup jenis lembu.,,,0102.29.90,Lain-lain
10,01,01.02,Binatang hidup jenis lembu.,,Kerbau,0102.31.00,Bibit
11,01,01.02,Binatang hidup jenis lembu.,,Kerbau,0102.39.00,Lain-lain
12,01,01.02,Binatang hidup jenis lembu.,0102.90,Lain-lain,0102.90.10,Bibit
13,01,01.02,Binatang hidup jenis lembu.,0102.90,Lain-lain,0102.90.90,Lain-lain
14,01,01.03,Babi hidup.,,,0103.10.00,Bibit
15,01,01.03,Babi hidup.,,Lain-lain,0103.91.00,Berat kurang dari 50 kg
16,01,01.03,Babi hidup.,,Lain-lain,0103.92.00,Berat 50 kg atau lebih
17,01,01.04,"Biri-biri dan kambing, hidup.",0104.10,Biri-biri,0104.10.10,Bibit
18,01,01.04,"Biri-biri dan kambing, hidup.",0104.10,Biri-biri,0104.10.90,Lain-lain
19,01,01.04,"Biri-biri dan kambing, hidup.",0104.20,Kambing,0104.20.10,Bibit
20,01,01.04,"Biri-biri dan kambing, hidup.",0104.20,Kambing,0104.20.90,Lain-lain
21,01,01.04,"Biri-biri dan kambing, hidup.",0105.11,Ayam dari spesies Gallus domesticus,0105.11.10,Ayam bibit
22,01,01.04,"Biri-biri dan kambing, hidup.",0105.11,Ayam dari spesies Gallus domesticus,0105.11.90,Lain-lain
23,01,01.04,"Biri-biri dan kambing, hidup.",0105.12,Kalkun,0105.12.10,Kalkun bibit
24,01,01.04,"Biri-biri dan kambing, hidup.",0105.12,Kalkun,0105.12.90,Lain-lain
25,01,01.04,"Biri-biri dan kambing, hidup.",0105.13,Bebek,0105.13.10,Bebek bibit
26,01,01.04,"Biri-biri dan kambing, hidup.",0105.13,Bebek,0105.13.90,Lain-lain
27,01,01.04,"Biri-biri dan kambing, hidup.",0105.14,Angsa,0105.14.10,Angsa bibit
28,01,01.04,"Biri-biri dan kambing, hidup.",0105.14,Angsa,0105.14.90,Lain-lain
29,01,01.04,"Biri-biri dan kambing, hidup.",0105.15,Ayrun guinea,0105.15.10,Ayam guinea bibit
30,01,01.04,"Biri-biri dan kambing, hidup.",0105.15,Ayrun guinea,0105.15.90,Lain-lain
31,01,01.04,"Biri-biri dan kambing, hidup.",0105.94,Ayam dari spesies Gallus domesticu.s,0105.94.10,"Ayam bibit, selain ayam sabung"
32,01,01.04,"Biri-biri dan kambing, hidup.",,-,0105.94.41,Berat tidak lebih dari 2 kg
33,01,01.04,"Biri-biri dan kambing, hidup.",,-,0105.94.49,Lain-lain
34,01,01.04,"Biri-biri dan kambing, hidup.",,-,0105.94.91,Berat tidak lebih dari 2 kg
35,01,01.04,"Biri-biri dan kambing, hidup.",,-,0105.94.99,Lain-lain
36,01,01.04,"Biri-biri dan kambing, hidup.",0105.99,Lain-lain,0105.99.10,Bebek bibit
37,01,01.04,"Biri-biri dan kambing, hidup.",0105.99,Lain-lain,0105.99.20,Bebek lainnya
38,01,01.04,"Biri-biri dan kambing, hidup.",0105.99,Lain-lain,0105.99.30,"Angsa, kalkun dan ayam guinea,"
39,01,01.04,"Biri-biri dan kambing, hidup.",0105.99,Lain-lain,0105.99.40,"Angsa, kalkun dan ayam guinea"
40,01,01.06,Binatang hidup lainnya.,,Binatang menyusui,0106.11.00,Primata
41,01,01.06,Binatang hidup lainnya.,0106.12,"Paus, lumba-lumba dan porpoise",0106.12.10,"Paus, lumba-lumba dan porpoise"
42,01,01.06,Binatang hidup lainnya.,0106.12,"Paus, lumba-lumba dan porpoise",0106.12.20,"Anjing laut, singa laut dan beruang"
43,01,01.06,Binatang hidup lainnya.,0106.12,"Paus, lumba-lumba dan porpoise",0106.13.00,Unta dan camelid lainnya
44,01,01.06,Binatang hidup lainnya.,0106.12,"Paus, lumba-lumba dan porpoise",0106.14.00,Kelinci dnn hare
45,01,01.06,Binatang hidup lainnya.,0106.12,"Paus, lumba-lumba dan porpoise",0106.19.00,Lain-lain
46,01,01.06,Binatang hidup lainnya.,0106.12,"Paus, lumba-lumba dan porpoise",0106.20.00,Binatang melata (termasuk ular dan penyu)
47,01,01.06,Binatang hidup lainnya.,,Burung,0106.31.00,Burung pemangsa
48,01,01.06,Binatang hidup lainnya.,,Burung,0106.32.00,"Psittaciformes (termasuk burung Beo,"
49,01,01.06,Binatang hidup lainnya.,,Burung,0106.33.00,Burung unta; emu (Dromaius)
50,01,01.06,Binatang hidup lainnya.,,Burung,0106.39.00,Lain-Iain
51,01,01.06,Binatang hidup lainnya.,,Serangga,0106.41.00,Lebah
52,01,01.06,Binatang hidup lainnya.,,Serangga,0106.49.00,Lain-lain
53,01,01.06,Binatang hidup lainnya.,,Serangga,0106.90.00,Lain-lain
54,02,02.01,"Dagi.ng binatang jenis lembu, segar",,,0201.10.00,Karkas dan setengah karkas
55,02,02.01,"Dagi.ng binatang jenis lembu, segar",,,0201.20.00,"Potongan dnging lainnya, bertulang"
56,02,02.01,"Dagi.ng binatang jenis lembu, segar",,,0201.30.00,Daging tanpa tulang
57,02,02.02,"Dagi.ng binatang jenis lembu, beku.",,,0202.10.00,Karkas dan setengah karkas
