"id","struktur","level","kode","kode_induk","kategori_kode","golongan_pokok_kode","golongan_kode","subgolongan_kode","kelompok_kode","judul","cakupan","tidak_cakupan","no_asli","kode_asli","catatan"
"1","Kategori","1","A","","A","","","","","PERTANIAN, KEHUTANAN, DAN PERIKANAN","","","","",""
"2","Golongan Pokok","2","01","A","A","01","","","","PERTANIAN TANAMAN, PETERNAKAN, PERBURUAN, DAN KEGIATAN JASA TERKAIT","","","","1",""
"3","Golongan","3","011","01","A","01","011","","","PERTANIAN TANAMAN SEMUSIM","Golongan ini mencakup kegiatan penanaman tanaman yang berlangsung tidak lebih dari dua musim panen, termasuk penanaman tanaman untuk menghasilkan benih berupa biji/seed. Golongan ini juga mencakup kegiatan penanaman tanaman semusim di area atau lokasi hutan (agroforestry), termasuk penanaman tanaman semusim yang bertujuan untuk penyerapan dan penyimpanan karbon secara alami, serta penjualan kredit karbon atau sertifikat pengurangan emisi sebagai hasil dari kegiatan tersebut.","","","11",""
"4","Subgolongan","4","0111","011","A","01","011","0111","","PERTANIAN SEREALIA (BUKAN PADI), ANEKA KACANG, DAN BIJI-BIJIAN PENGHASIL MINYAK","","","","111",""
"5","Kelompok","5","01111","0111","A","01","011","0111","01111","PERTANIAN JAGUNG","Kelompok ini mencakup kegiatan pertanian jagung, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman jagung untuk menghasilkan benih berupa biji","Kelompok ini tidak mencakup pertanian jagung manis, lihat kelompok 01133","1","1111",""
"6","Kelompok","5","01112","0111","A","01","011","0111","01112","PERTANIAN SEREALIA SELAIN PADI DAN JAGUNG","Kelompok ini mencakup kegiatan pertanian serealia selain padi dan jagung, seperti gandum (wheat/oats), sorgum/cantel, barli (barley), gandum hitam (rye), dan jawawut. Pertanian serealia selain padi dan jagung yang dimaksud mencakup kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan. Kelompok ini juga mencakup kegiatan penanaman tanaman serealia selain padi dan jagung untuk menghasilkan benih berupa biji","","2","1112",""
"7","Kelompok","5","01113","0111","A","01","011","0111","01113","PERTANIAN KEDELAI","Kelompok ini mencakup kegiatan pertanian kedelai, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan","Kelompok ini tidak mencakup pertanian kedelai sayur/edamame, lihat kelompok 01116","3","1113",""
"8","Kelompok","5","01114","0111","A","01","011","0111","01114","PERTANIAN KACANG TANAH","Kelompok ini mencakup kegiatan pertanian kacang tanah, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan","","4","1114",""
"9","Kelompok","5","01115","0111","A","01","011","0111","01115","PERTANIAN KACANG HIJAU","Kelompok ini mencakup kegiatan pertanian kacang hijau, termasuk di dalamnya kegiatan pengolahan lahan, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan","","5","1115",""
"10","Kelompok","5","01116","0111","A","01","011","0111","01116","PERTANIAN ANEKA KACANG SELAIN KEDELAI, KACANG TANAH, DAN KACANG HIJAU","Kelompok ini mencakup kegiatan pertanian aneka kacang lainnya, seperti buncis, buncis besar, kacang panjang, kapri, kecipir, miju-miju, lupin, kacang polong, kacang merah, koro, gude, dan kacang tunggak. Pertanian aneka kacang yang dimaksud mencakup kegiatan pengolahan lahan, penyemaian, penanaman, pemeliharaan, pemanenan, dan kegiatan pascapanen yang dilakukan sebagai satu rangkaian kegiatan","","6","1116",""
