hasil_lq_id,kab_id,sektor_id,tahun,nilai_lq,kategori,created_at,updated_at
1,1201,1,2021,1.90710,Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
2,1201,2,2021,0.23120,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
3,1201,3,2021,0.60550,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
4,1201,4,2021,3.89560,Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
5,1201,5,2021,1.11210,Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
6,1201,6,2021,0.81010,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
7,1201,7,2021,0.65620,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
8,1201,8,2021,0.51440,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
9,1201,9,2021,0.66240,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
10,1201,10,2021,0.26680,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
11,1201,11,2021,0.34820,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
12,1201,12,2021,0.48510,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
13,1201,13,2021,0.33170,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
14,1201,14,2021,2.32150,Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
15,1201,15,2021,0.53410,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
16,1201,16,2021,0.36310,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
17,1201,17,2021,0.18540,Non Basis,2026-07-15 19:00:52,2026-07-17 07:54:02
188,1201,1,2022,1.89960,Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
189,1201,2,2022,0.23800,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
190,1201,3,2022,0.60810,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
191,1201,4,2022,3.91420,Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
192,1201,5,2022,1.17980,Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
193,1201,6,2022,0.81410,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
194,1201,7,2022,0.66800,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
195,1201,8,2022,0.51170,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
196,1201,9,2022,0.66860,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
197,1201,10,2022,0.26790,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
198,1201,11,2022,0.35190,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
199,1201,12,2022,0.49310,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
200,1201,13,2022,0.32860,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
201,1201,14,2022,2.35040,Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
202,1201,15,2022,0.53730,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
203,1201,16,2022,0.36890,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
204,1201,17,2022,0.18220,Non Basis,2026-07-15 19:58:18,2026-07-16 01:52:42
205,1201,1,2023,1.91690,Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
206,1201,2,2023,0.24360,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
207,1201,3,2023,0.61600,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
208,1201,4,2023,3.93260,Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
209,1201,5,2023,1.19780,Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
210,1201,6,2023,0.81110,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
211,1201,7,2023,0.67160,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
212,1201,8,2023,0.51380,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
213,1201,9,2023,0.65920,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
214,1201,10,2023,0.26300,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
215,1201,11,2023,0.35100,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
216,1201,12,2023,0.50770,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
217,1201,13,2023,0.33520,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
218,1201,14,2023,2.40410,Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
219,1201,15,2023,0.53810,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
220,1201,16,2023,0.37150,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
221,1201,17,2023,0.18100,Non Basis,2026-07-15 19:58:34,2026-07-16 02:01:11
222,1201,1,2024,1.91250,Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
223,1201,2,2024,0.23740,Non Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
224,1201,3,2024,0.61890,Non Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
225,1201,4,2024,4.07750,Basis,2026-07-15 19:58:51,2026-07-16 02:09:23
