id,indikator_provinsi_id,indikator_kabupaten_id,tahun,kuadran,created_at,updated_at,kab_id,sektor_id,pertumbuhan_kabupaten,kontribusi_kabupaten,pertumbuhan_provinsi,kontribusi_provinsi
1,35,35,2022,Kuadran II,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,1,0.04065,0.49258,0.05029,0.25931
2,36,36,2022,Kuadran III,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,2,0.05061,0.00301,0.02616,0.01265
3,37,37,2022,Kuadran IV,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,3,0.01871,0.10588,0.01982,0.17413
4,38,38,2022,Kuadran II,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,4,0.04761,0.00564,0.0481,0.00144
5,39,39,2022,Kuadran I,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,5,0.07816,0.00117,0.02167,0.00099
6,40,40,2022,Kuadran IV,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,6,0.0301,0.09989,0.03032,0.1227
7,41,41,2022,Kuadran III,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,7,0.0791,0.12233,0.06572,0.18314
8,42,42,2022,Kuadran IV,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,8,0.11775,0.02185,0.12963,0.04269
9,43,43,2022,Kuadran III,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,9,0.07704,0.01487,0.07257,0.02223
10,44,44,2022,Kuadran IV,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,10,0.07465,0.00874,0.07598,0.03262
11,45,45,2022,Kuadran III,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,11,0.04368,0.0102,0.03814,0.02899
12,46,46,2022,Kuadran III,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,12,0.05696,0.02133,0.04528,0.04325
13,47,47,2022,Kuadran IV,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,13,0.07206,0.00294,0.08777,0.00894
14,48,48,2022,Kuadran I,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,14,-0.00024,0.07393,-0.00733,0.03146
15,49,49,2022,Kuadran III,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,15,0.05195,0.01126,0.05136,0.02095
16,50,50,2022,Kuadran III,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,16,0.05924,0.00343,0.0483,0.00931
17,51,51,2022,Kuadran IV,2026-07-15 19:58:30,2026-07-16 01:52:53,1201,17,0.06325,0.00095,0.08723,0.0052
18,52,52,2023,Kuadran I,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,1,0.03207,0.48777,0.03042,0.25446
19,53,53,2023,Kuadran III,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,2,0.05174,0.00304,0.03532,0.01247
20,54,54,2023,Kuadran III,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,3,0.04039,0.10569,0.03461,0.17157
21,55,55,2023,Kuadran II,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,4,0.0188,0.00552,0.02164,0.0014
22,56,56,2023,Kuadran I,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,5,0.03682,0.00116,0.0289,0.00097
23,57,57,2023,Kuadran IV,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,6,0.05206,0.10083,0.06394,0.12432
24,58,58,2023,Kuadran IV,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,7,0.05585,0.12393,0.05797,0.18452
25,59,59,2023,Kuadran IV,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,8,0.12643,0.02361,0.13018,0.04595
26,60,60,2023,Kuadran IV,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,9,0.07849,0.01538,0.10217,0.02334
27,61,61,2023,Kuadran IV,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,10,0.05072,0.00881,0.07802,0.03349
28,62,62,2023,Kuadran IV,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,11,0.04475,0.01023,0.05499,0.02913
29,63,63,2023,Kuadran III,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,12,0.05446,0.02158,0.03191,0.0425
30,64,64,2023,Kuadran III,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,13,0.08002,0.00304,0.0668,0.00908
31,65,65,2023,Kuadran I,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,14,0.03476,0.0734,0.01922,0.03053
32,66,66,2023,Kuadran IV,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,15,0.06751,0.01153,0.07376,0.02143
33,67,67,2023,Kuadran IV,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,16,0.06375,0.0035,0.06422,0.00943
34,68,68,2023,Kuadran IV,2026-07-15 19:58:46,2026-07-16 02:01:24,1201,17,0.07932,0.00098,0.09474,0.00542
35,69,69,2024,Kuadran II,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,1,0.02608,0.48056,0.03716,0.25128
36,70,70,2024,Kuadran IV,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,2,0.00509,0.00293,0.04022,0.01235
37,71,71,2024,Kuadran IV,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,3,0.04229,0.10578,0.04622,0.1709
38,72,72,2024,Kuadran I,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,4,0.05558,0.00559,0.02671,0.00137
39,73,73,2024,Kuadran I,2026-07-15 19:59:03,2026-07-16 02:09:34,1201,5,0.0444,0.00116,0.02553,0.00095
