kab_id,nama_kabupaten
12.01,KAB. TAPANULI TENGAH
12.02,KAB. TAPANULI UTARA
12.03,KAB. TAPANULI SELATAN
12.04,KAB. NIAS
12.05,KAB. LANGKAT
12.06,KAB. KARO
12.07,KAB. DELI SERDANG
12.08,KAB. SIMALUNGUN
12.09,KAB. ASAHAN
12.10,KAB. LABUHANBATU
12.11,KAB. DAIRI
12.12,KAB. TOBA SAMOSIR
12.13,KAB. MANDAILING NATAL
12.14,KAB. NIAS SELATAN
12.15,KAB. PAKPAK BHARAT
12.16,KAB. HUMBANG HASUNDUTAN
12.17,KAB. SAMOSIR
12.18,KAB. SERDANG BEDAGAI
12.19,KAB. BATU BARA
12.20,KAB. PADANG LAWAS UTARA
12.21,KAB. PADANG LAWAS
12.22,KAB. LABUHANBATU SELATAN
12.23,KAB. LABUHANBATU UTARA
12.24,KAB. NIAS UTARA
12.25,KAB. NIAS BARAT
12.71,KOTA MEDAN
12.72,KOTA PEMATANGSIANTAR
12.73,KOTA SIBOLGA
12.74,KOTA TANJUNG BALAI
12.75,KOTA BINJAI
12.76,KOTA TEBING TINGGI
12.77,KOTA PADANG SIDEMPUAN
12.78,KOTA GUNUNGSITOLI
