id,nama,latitude,longitude
1,Kota Medan,3.59520000,98.67220000
2,Kota Binjai,3.60010000,98.48540000
3,Kota Tebing Tinggi,3.32740000,99.16230000
4,Kota Pematangsiantar,2.95950000,99.06870000
5,Kota Sibolga,1.74270000,98.77920000
6,Kota Padangsidimpuan,1.37960000,99.27330000
7,Kota Gunungsitoli,1.28860000,97.61430000
8,Kabupaten Deli Serdang,3.56150000,98.88500000
9,Kabupaten Langkat,3.78120000,98.42070000
10,Kabupaten Karo,3.18540000,98.50420000
11,Kabupaten Simalungun,2.97850000,99.06870000
12,Kabupaten Asahan,2.98660000,99.62870000
13,Kabupaten Batu Bara,3.17400000,99.50000000
14,Kabupaten Labuhanbatu,2.11540000,99.83350000
15,Kabupaten Labuhanbatu Utara,2.34670000,99.66560000
16,Kabupaten Labuhanbatu Selatan,1.87980000,100.09670000
17,Kabupaten Serdang Bedagai,3.37400000,99.02060000
18,Kabupaten Tapanuli Utara,2.04050000,99.07060000
19,Kabupaten Tapanuli Tengah,1.90250000,98.74580000
20,Kabupaten Tapanuli Selatan,1.57700000,99.27900000
21,Kabupaten Mandailing Natal,0.74320000,99.53000000
22,Kabupaten Padang Lawas,1.22150000,99.84240000
23,Kabupaten Padang Lawas Utara,1.46060000,99.67360000
24,Kabupaten Humbang Hasundutan,2.33070000,98.65840000
25,Kabupaten Pakpak Bharat,2.56340000,98.29970000
26,Kabupaten Samosir,2.63330000,98.83330000
27,Kabupaten Toba,2.36840000,99.00340000
28,Kabupaten Dairi,2.73890000,98.31440000
29,Kabupaten Nias,1.03300000,97.77400000
30,Kabupaten Nias Selatan,0.63000000,97.78300000
31,Kabupaten Nias Utara,1.39670000,97.42170000
32,Kabupaten Nias Barat,1.06070000,97.58670000
33,Kabupaten Nias Tengah,1.22440000,97.60150000
