sektor_id,nama_sektor
1,"PERTANIAN, KEHUTANAN, DAN PERIKANAN"
2,PERTAMBANGAN DAN PENGGALIAN
3,INDUSTRI PENGOLAHAN
4,PENGADAAN LISTRIK DAN GAS
5,"PENGADAAN AIR, PENGELOLAAN SAMPAH, LIMBAH DAN DAUR ULANG"
6,KOSNTRUKSI
7,PERDAGANGAN BESAR DAN ECERAN
8,TRANSPORTASI DAN PERGUDANGAN
9,PENYEDIAAN AKOMODASI DAN MAKAN MINUM
10,INFORMASI DAN KOMUNIKASI
11,JASA KEUANGAN DAN ASURANSI
12,REAL ESTAT
13,JASA PERUSAHAAN
14,"ADMINISTRASI PEMERINTAHAN, PERTAHANAN DAN JAMINAN SOSIAL WAJIB"
15,JASA PENDIDIKAN
16,JASA KESEHATAN DAN KEGIATAN SOSIAL
17,JASA LAINNYA
