tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,pertumbuhan,kontribusi
provinsi,19,,1,2021,0,19.45
provinsi,19,,2,2021,0,11.65
provinsi,19,,3,2021,0,21.44
provinsi,19,,4,2021,0,0.11
provinsi,19,,5,2021,0,0.02
provinsi,19,,6,2021,0,8.85
provinsi,19,,7,2021,0,13.84
provinsi,19,,8,2021,0,3.39
provinsi,19,,9,2021,0,2.56
provinsi,19,,10,2021,0,2.84
provinsi,19,,11,2021,0,1.76
provinsi,19,,12,2021,0,3.48
provinsi,19,,13,2021,0,0.23
provinsi,19,,14,2021,0,5.67
provinsi,19,,15,2021,0,2.53
provinsi,19,,16,2021,0,1.45
provinsi,19,,17,2021,0,0.73
provinsi,19,,1,2022,0.99,18.81
provinsi,19,,2,2022,0.51,11.22
provinsi,19,,3,2022,5.14,21.6
provinsi,19,,4,2022,-3.39,0.1
provinsi,19,,5,2022,4.02,0.02
provinsi,19,,6,2022,-1.06,8.38
provinsi,19,,7,2022,10.77,14.69
provinsi,19,,8,2022,20.98,3.93
provinsi,19,,9,2022,10.39,2.7
provinsi,19,,10,2022,9.86,2.99
provinsi,19,,11,2022,5.57,1.78
provinsi,19,,12,2022,5.11,3.51
provinsi,19,,13,2022,11,0.24
provinsi,19,,14,2022,-1.37,5.35
provinsi,19,,15,2022,3.03,2.5
provinsi,19,,16,2022,2.16,1.42
provinsi,19,,17,2022,7.88,0.76
provinsi,19,,1,2023,3.73,18.7
provinsi,19,,2,2023,-1.2,10.62
provinsi,19,,3,2023,1.92,21.09
provinsi,19,,4,2023,2.39,0.1
provinsi,19,,5,2023,0.28,0.02
provinsi,19,,6,2023,8.94,8.75
provinsi,19,,7,2023,2.36,14.4
provinsi,19,,8,2023,9.48,4.13
provinsi,19,,9,2023,9.92,2.85
provinsi,19,,10,2023,13.82,3.26
provinsi,19,,11,2023,13.91,1.94
provinsi,19,,12,2023,4.14,3.5
provinsi,19,,13,2023,8.86,0.25
provinsi,19,,14,2023,6.63,5.47
provinsi,19,,15,2023,10.74,2.65
provinsi,19,,16,2023,8.82,1.48
provinsi,19,,17,2023,10.97,0.81
provinsi,19,,1,2024,3.13,19.14
provinsi,19,,2,2024,-4.01,10.11
provinsi,19,,3,2024,-3.93,20.1
provinsi,19,,4,2024,5.04,0.1
provinsi,19,,5,2024,3.85,0.02
provinsi,19,,6,2024,-0.57,8.63
provinsi,19,,7,2024,-0.34,14.24
provinsi,19,,8,2024,2.38,4.19
provinsi,19,,9,2024,3.64,2.93
provinsi,19,,10,2024,9.83,3.55
provinsi,19,,11,2024,0.81,1.94
provinsi,19,,12,2024,3.54,3.6
provinsi,19,,13,2024,6.89,0.27
provinsi,19,,14,2024,8.82,5.91
provinsi,19,,15,2024,10.7,2.91
provinsi,19,,16,2024,1.64,1.5
provinsi,19,,17,2024,8.13,0.87
provinsi,19,,1,2025,3.17,18.97
provinsi,19,,2,2025,6.67,10.36
provinsi,19,,3,2025,4.33,20.15
provinsi,19,,4,2025,4.62,0.1
provinsi,19,,5,2025,2.35,0.02
provinsi,19,,6,2025,-1.26,8.19
provinsi,19,,7,2025,4.97,14.36
provinsi,19,,8,2025,5.51,4.25
provinsi,19,,9,2025,9.17,3.07
provinsi,19,,10,2025,8.97,3.72
provinsi,19,,11,2025,0.81,1.88
provinsi,19,,12,2025,3.79,3.58
provinsi,19,,13,2025,7.09,0.27
provinsi,19,,14,2025,-0.12,5.67
provinsi,19,,15,2025,6.72,2.99
provinsi,19,,16,2025,5.53,1.52
provinsi,19,,17,2025,9.05,0.91
provinsi,21,,1,2021,0,2.94
provinsi,21,,2,2021,0,13.68
provinsi,21,,3,2021,0,41.96
provinsi,21,,4,2021,0,0.91
provinsi,21,,5,2021,0,0.12
provinsi,21,,6,2021,0,18.38
provinsi,21,,7,2021,0,7.51
provinsi,21,,8,2021,0,1.39
provinsi,21,,9,2021,0,1.3
provinsi,21,,10,2021,0,3.27
provinsi,21,,11,2021,0,2.67
provinsi,21,,12,2021,0,1.24
provinsi,21,,13,2021,0,0
provinsi,21,,14,2021,0,2.23
provinsi,21,,15,2021,0,1.21
provinsi,21,,16,2021,0,1.04
provinsi,21,,17,2021,0,0.15
provinsi,21,,1,2022,5.26,2.95
provinsi,21,,2,2022,-7,12.11
provinsi,21,,3,2022,4.51,41.74
provinsi,21,,4,2022,16.38,1.01
provinsi,21,,5,2022,8.82,0.13
provinsi,21,,6,2022,5,18.37
provinsi,21,,7,2022,13.86,8.14
provinsi,21,,8,2022,38.37,1.83
provinsi,21,,9,2022,49.71,1.86
provinsi,21,,10,2022,8.66,3.38
provinsi,21,,11,2022,4.17,2.65
provinsi,21,,12,2022,4.64,1.24
provinsi,21,,13,2022,15.16,0
provinsi,21,,14,2022,3.36,2.19
provinsi,21,,15,2022,3.32,1.19
provinsi,21,,16,2022,-0.02,0.99
provinsi,21,,17,2022,69.97,0.24
provinsi,21,,1,2023,1.53,2.85
provinsi,21,,2,2023,-2.65,11.21
provinsi,21,,3,2023,2.46,40.67
provinsi,21,,4,2023,8.03,1.04
provinsi,21,,5,2023,4.45,0.12
provinsi,21,,6,2023,10.49,19.3
provinsi,21,,7,2023,5.87,8.2
provinsi,21,,8,2023,14.92,2
provinsi,21,,9,2023,27.31,2.25
provinsi,21,,10,2023,19.96,3.85
provinsi,21,,11,2023,8.65,2.74
provinsi,21,,12,2023,5.25,1.24
provinsi,21,,13,2023,18.31,0
provinsi,21,,14,2023,5.13,2.19
provinsi,21,,15,2023,3.87,1.17
provinsi,21,,16,2023,-4.82,0.9
provinsi,21,,17,2023,21.51,0.28
provinsi,21,,1,2024,0.57,2.72
provinsi,21,,2,2024,-7.83,9.84
provinsi,21,,3,2024,7.77,41.73
provinsi,21,,4,2024,7.2,1.06
provinsi,21,,5,2024,1.98,0.12
provinsi,21,,6,2024,5.75,19.43
provinsi,21,,7,2024,5.59,8.24
provinsi,21,,8,2024,2.51,1.95
provinsi,21,,9,2024,4.21,2.23
provinsi,21,,10,2024,-0.06,3.67
provinsi,21,,11,2024,7.41,2.8
provinsi,21,,12,2024,5.59,1.25
