tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun_awal,tahun_akhir,growth_daerah,growth_pembanding,share_daerah,share_pembanding,kuadran,kategori_kuadran
provinsi,19,,1,2021,2022,0.99,4.95,18.81,12.82,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,19,,2,2021,2022,0.51,4.95,11.22,7.66,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,19,,3,2021,2022,5.14,4.95,21.6,21.4,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,19,,4,2021,2022,-3.39,4.95,0.1,1.09,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,19,,5,2021,2022,4.02,4.95,0.02,0.09,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,19,,6,2021,2022,-1.06,4.95,8.38,10.04,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,19,,7,2021,2022,10.77,4.95,14.69,13.66,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,19,,8,2021,2022,20.98,4.95,3.93,4.35,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,19,,9,2021,2022,10.39,4.95,2.7,3.11,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,19,,10,2021,2022,9.86,4.95,2.99,6.7,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,19,,11,2021,2022,5.57,4.95,1.78,4.23,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,19,,12,2021,2022,5.11,4.95,3.51,3.03,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,19,,13,2021,2022,11,4.95,0.24,1.91,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,19,,14,2021,2022,-1.37,4.95,5.35,3.33,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,19,,15,2021,2022,3.03,4.95,2.5,3.15,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,19,,16,2021,2022,2.16,4.95,1.42,1.44,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,19,,17,2021,2022,7.88,4.95,0.76,1.96,"Kuadran III","Sektor Berkembang Cepat / Potensial"
