tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori,persen_daerah,persen_acuan
provinsi,19,,1,2021,1.4778,Basis,19.45,13.16
provinsi,19,,2,2021,1.512,Basis,11.65,7.71
provinsi,19,,3,2021,1.0014,Basis,21.44,21.41
provinsi,19,,4,2021,0.1024,"Non Basis",0.11,1.08
provinsi,19,,5,2021,0.1981,"Non Basis",0.02,0.09
provinsi,19,,6,2021,0.856,"Non Basis",8.85,10.33
provinsi,19,,7,2021,1.0185,Basis,13.84,13.59
provinsi,19,,8,2021,0.8917,"Non Basis",3.39,3.81
provinsi,19,,9,2021,0.8774,"Non Basis",2.56,2.91
provinsi,19,,10,2021,0.4348,"Non Basis",2.84,6.53
provinsi,19,,11,2021,0.4034,"Non Basis",1.76,4.35
provinsi,19,,12,2021,1.1151,Basis,3.48,3.12
provinsi,19,,13,2021,0.1227,"Non Basis",0.23,1.85
provinsi,19,,14,2021,1.6598,Basis,5.67,3.41
provinsi,19,,15,2021,0.7707,"Non Basis",2.53,3.29
provinsi,19,,16,2021,0.9869,"Non Basis",1.45,1.47
provinsi,19,,17,2021,0.3903,"Non Basis",0.73,1.88
provinsi,19,,1,2022,1.4672,Basis,18.81,12.82
provinsi,19,,2,2022,1.4636,Basis,11.22,7.66
provinsi,19,,3,2022,1.0091,Basis,21.6,21.4
provinsi,19,,4,2022,0.0933,"Non Basis",0.1,1.09
provinsi,19,,5,2022,0.2007,"Non Basis",0.02,0.09
provinsi,19,,6,2022,0.8346,"Non Basis",8.38,10.04
provinsi,19,,7,2022,1.0748,Basis,14.69,13.66
provinsi,19,,8,2022,0.9047,"Non Basis",3.93,4.35
provinsi,19,,9,2022,0.8698,"Non Basis",2.7,3.11
provinsi,19,,10,2022,0.4458,"Non Basis",2.99,6.7
provinsi,19,,11,2022,0.42,"Non Basis",1.78,4.23
provinsi,19,,12,2022,1.1584,Basis,3.51,3.03
provinsi,19,,13,2022,0.1259,"Non Basis",0.24,1.91
provinsi,19,,14,2022,1.6052,Basis,5.35,3.33
provinsi,19,,15,2022,0.7939,"Non Basis",2.5,3.15
provinsi,19,,16,2022,0.9864,"Non Basis",1.42,1.44
provinsi,19,,17,2022,0.3867,"Non Basis",0.76,1.96
provinsi,19,,1,2023,1.5121,Basis,18.7,12.37
provinsi,19,,2,2023,1.3714,Basis,10.62,7.74
provinsi,19,,3,2023,0.9892,"Non Basis",21.09,21.32
provinsi,19,,4,2023,0.0916,"Non Basis",0.1,1.09
provinsi,19,,5,2023,0.1931,"Non Basis",0.02,0.09
provinsi,19,,6,2023,0.8722,"Non Basis",8.75,10.03
provinsi,19,,7,2023,1.056,Basis,14.4,13.64
provinsi,19,,8,2023,0.8747,"Non Basis",4.13,4.72
provinsi,19,,9,2023,0.8748,"Non Basis",2.85,3.25
provinsi,19,,10,2023,0.4746,"Non Basis",3.26,6.86
provinsi,19,,11,2023,0.4596,"Non Basis",1.94,4.22
provinsi,19,,12,2023,1.197,Basis,3.5,2.92
provinsi,19,,13,2023,0.1274,"Non Basis",0.25,1.97
provinsi,19,,14,2023,1.697,Basis,5.47,3.22
provinsi,19,,15,2023,0.8694,"Non Basis",2.65,3.05
provinsi,19,,16,2023,1.0322,Basis,1.48,1.44
provinsi,19,,17,2023,0.3907,"Non Basis",0.81,2.06
provinsi,19,,1,2024,1.6157,Basis,19.14,11.84
provinsi,19,,2,2024,1.3092,Basis,10.11,7.73
provinsi,19,,3,2024,0.9492,"Non Basis",20.1,21.18
provinsi,19,,4,2024,0.0958,"Non Basis",0.1,1.09
provinsi,19,,5,2024,0.206,"Non Basis",0.02,0.09
provinsi,19,,6,2024,0.8452,"Non Basis",8.63,10.21
provinsi,19,,7,2024,1.0466,Basis,14.24,13.61
provinsi,19,,8,2024,0.8595,"Non Basis",4.19,4.88
provinsi,19,,9,2024,0.872,"Non Basis",2.93,3.36
provinsi,19,,10,2024,0.5054,"Non Basis",3.55,7.02
provinsi,19,,11,2024,0.4614,"Non Basis",1.94,4.2
provinsi,19,,12,2024,1.2612,Basis,3.6,2.85
provinsi,19,,13,2024,0.1311,"Non Basis",0.27,2.03
provinsi,19,,14,2024,1.8098,Basis,5.91,3.26
provinsi,19,,15,2024,0.9675,"Non Basis",2.91,3.01
provinsi,19,,16,2024,1.0121,Basis,1.5,1.48
provinsi,19,,17,2024,0.4014,"Non Basis",0.87,2.16
provinsi,19,,1,2025,1.5989,Basis,18.97,11.86
provinsi,19,,2,2025,1.4202,Basis,10.36,7.3
provinsi,19,,3,2025,0.9501,"Non Basis",20.15,21.21
provinsi,19,,4,2025,0.0982,"Non Basis",0.1,1.07
provinsi,19,,5,2025,0.211,"Non Basis",0.02,0.08
provinsi,19,,6,2025,0.8121,"Non Basis",8.19,10.08
provinsi,19,,7,2025,1.0521,Basis,14.36,13.65
provinsi,19,,8,2025,0.8423,"Non Basis",4.25,5.04
