tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun_awal,tahun_akhir,n_nij,c_cij,s_sij,d_dij,keunggulan_kompetitif,spesialisasi
provinsi,19,,1,2021,2022,532760721733.36,-289942994274.8,-135857727458.57,106960000000,0,0
provinsi,19,,2,2021,2022,319134394103.57,-36287479553.69,-249796914549.88,33050000000,0,0
provinsi,19,,3,2021,2022,587438264622.37,-6525446044.01,29887181421.64,610800000000,1,0
provinsi,19,,4,2021,2022,3019336267.21,1013939785.35,-6103276052.55,-2070000000,0,1
provinsi,19,,5,2021,2022,504624445.77,-174746329.37,80121883.6,410000000,1,0
provinsi,19,,6,2021,2022,242297901286.96,-143648230764.66,-150639670522.3,-51990000000,0,0
provinsi,19,,7,2021,2022,379124346108.95,44636085412.95,401819568478.1,825580000000,1,1
provinsi,19,,8,2021,2022,92989917109.67,280482389253.71,20897693636.62,394370000000,1,1
provinsi,19,,9,2021,2022,69999326306.24,99007717900.83,-21937044207.07,147070000000,0,1
provinsi,19,,10,2021,2022,77757185065.22,43675022145.89,33487792788.89,154920000000,1,1
provinsi,19,,11,2021,2022,48126330231.24,-29312750622.87,35406420391.63,54220000000,1,0
provinsi,19,,12,2021,2022,95417061747.87,-62246633742.11,65469571994.24,98640000000,1,0
provinsi,19,,13,2021,2022,6208859602.4,4801337666.39,2789802731.21,13800000000,1,1
provinsi,19,,14,2021,2022,155216542761.47,-76164522179.8,-122132020581.66,-43080000000,0,0
provinsi,19,,15,2021,2022,69386356023.58,-61714267156.87,34757911133.29,42430000000,1,0
provinsi,19,,16,2021,2022,39802995255.09,-17670213069.59,-4732782185.5,17400000000,0,0
provinsi,19,,17,2021,2022,20118189301.32,18375115158.64,-6443304459.96,32050000000,0,1
provinsi,19,,1,2022,2023,549650194365.67,-407638375664.42,264188181298.76,406200000000,1,0
provinsi,19,,2,2022,2023,327683736071.17,69228040243.04,-474511776314.21,-77600000000,0,1
provinsi,19,,3,2022,2023,630970088730.17,-51708144680.19,-339971944049.97,239290000000,0,0
provinsi,19,,4,2022,2023,2979802224.76,-86690268.15,-1483111956.61,1410000000,0,0
provinsi,19,,5,2022,2023,536222890.18,-16710971.35,-489511918.83,30000000,0,0
provinsi,19,,6,2022,2023,244893145561.14,-6801947534.27,195188801973.14,433280000000,1,0
provinsi,19,,7,2022,2023,429020765224.71,-17298595412.96,-211262169811.75,200460000000,0,0
provinsi,19,,8,2022,2023,114925553986.84,202585188587.52,-102050742574.36,215460000000,0,1
provinsi,19,,9,2022,2023,78941005444.56,77307812567.33,-1278818011.89,154970000000,0,1
provinsi,19,,10,2022,2023,87262820816.5,43872131820.98,107415047362.52,238550000000,1,1
provinsi,19,,11,2022,2023,51903949878.4,-2870199885.26,93856250006.86,142890000000,1,0
provinsi,19,,12,2022,2023,102459003532.6,-73456588685.94,54847585153.34,83850000000,1,0
provinsi,19,,13,2022,2023,7040136531.71,4445085087.8,854778380.5,12340000000,1,1
provinsi,19,,14,2022,2023,156385034262.65,-109593752878.78,158418718616.14,205210000000,1,0
provinsi,19,,15,2022,2023,73026381048.98,-47412559774.72,129526178725.74,155140000000,1,0
provinsi,19,,16,2022,2023,41540343294.11,-3194967724.67,34164624430.55,72510000000,1,0
provinsi,19,,17,2022,2023,22171628833.16,23965684040.77,1972687126.07,48110000000,1,1
provinsi,19,,1,2023,2024,577011637261.22,-500658570098.25,276716932837.03,353070000000,1,0
provinsi,19,,2,2023,2024,327641453357.79,-14039981419.37,-570211471938.42,-256610000000,0,0
provinsi,19,,3,2023,2024,650769361367.8,-87302886353.73,-1063776475014.1,-500310000000,0,0
provinsi,19,,4,2023,2024,3087623032.82,-205091289.59,157468256.78,3040000000,1,0
provinsi,19,,5,2023,2024,544182691.22,-377175848.6,242993157.38,410000000,1,0
provinsi,19,,6,2023,2024,269987752182.18,100446440871.94,-400694193054.12,-30260000000,0,1
provinsi,19,,7,2023,2024,444414159666.11,-19751852749.31,-454612306916.8,-29950000000,0,0
provinsi,19,,8,2023,2024,127322383349.55,88916671552.92,-156879054902.46,59360000000,0,1
provinsi,19,,9,2023,2024,87812878747.1,57425324516.66,-82668203263.75,62570000000,0,1
