tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori_lq,shift_share_net,klasifikasi_sektor
provinsi,19,,1,2022,1.4672,Basis,-135857727458.57,"Maju tapi Tertekan"
provinsi,19,,2,2022,1.4636,Basis,-249796914549.88,"Maju tapi Tertekan"
provinsi,19,,3,2022,1.0091,Basis,29887181421.64,"Maju dan Tumbuh Cepat"
provinsi,19,,4,2022,0.0933,"Non Basis",-6103276052.55,"Relatif Tertinggal"
provinsi,19,,5,2022,0.2007,"Non Basis",80121883.6,"Potensial / Cepat Berkembang"
provinsi,19,,6,2022,0.8346,"Non Basis",-150639670522.3,"Relatif Tertinggal"
provinsi,19,,7,2022,1.0748,Basis,401819568478.1,"Maju dan Tumbuh Cepat"
provinsi,19,,8,2022,0.9047,"Non Basis",20897693636.62,"Potensial / Cepat Berkembang"
provinsi,19,,9,2022,0.8698,"Non Basis",-21937044207.07,"Relatif Tertinggal"
provinsi,19,,10,2022,0.4458,"Non Basis",33487792788.89,"Potensial / Cepat Berkembang"
provinsi,19,,11,2022,0.42,"Non Basis",35406420391.63,"Potensial / Cepat Berkembang"
provinsi,19,,12,2022,1.1584,Basis,65469571994.24,"Maju dan Tumbuh Cepat"
provinsi,19,,13,2022,0.1259,"Non Basis",2789802731.21,"Potensial / Cepat Berkembang"
provinsi,19,,14,2022,1.6052,Basis,-122132020581.66,"Maju tapi Tertekan"
provinsi,19,,15,2022,0.7939,"Non Basis",34757911133.29,"Potensial / Cepat Berkembang"
provinsi,19,,16,2022,0.9864,"Non Basis",-4732782185.5,"Relatif Tertinggal"
provinsi,19,,17,2022,0.3867,"Non Basis",-6443304459.96,"Relatif Tertinggal"
provinsi,19,,1,2023,1.5121,Basis,264188181298.76,"Maju dan Tumbuh Cepat"
provinsi,19,,2,2023,1.3714,Basis,-474511776314.21,"Maju tapi Tertekan"
provinsi,19,,3,2023,0.9892,"Non Basis",-339971944049.97,"Relatif Tertinggal"
provinsi,19,,4,2023,0.0916,"Non Basis",-1483111956.61,"Relatif Tertinggal"
provinsi,19,,5,2023,0.1931,"Non Basis",-489511918.83,"Relatif Tertinggal"
provinsi,19,,6,2023,0.8722,"Non Basis",195188801973.14,"Potensial / Cepat Berkembang"
provinsi,19,,7,2023,1.056,Basis,-211262169811.75,"Maju tapi Tertekan"
provinsi,19,,8,2023,0.8747,"Non Basis",-102050742574.36,"Relatif Tertinggal"
provinsi,19,,9,2023,0.8748,"Non Basis",-1278818011.89,"Relatif Tertinggal"
provinsi,19,,10,2023,0.4746,"Non Basis",107415047362.52,"Potensial / Cepat Berkembang"
provinsi,19,,11,2023,0.4596,"Non Basis",93856250006.86,"Potensial / Cepat Berkembang"
provinsi,19,,12,2023,1.197,Basis,54847585153.34,"Maju dan Tumbuh Cepat"
provinsi,19,,13,2023,0.1274,"Non Basis",854778380.5,"Potensial / Cepat Berkembang"
provinsi,19,,14,2023,1.697,Basis,158418718616.14,"Maju dan Tumbuh Cepat"
provinsi,19,,15,2023,0.8694,"Non Basis",129526178725.74,"Potensial / Cepat Berkembang"
provinsi,19,,16,2023,1.0322,Basis,34164624430.55,"Maju dan Tumbuh Cepat"
provinsi,19,,17,2023,0.3907,"Non Basis",1972687126.07,"Potensial / Cepat Berkembang"
provinsi,19,,1,2024,1.6157,Basis,276716932837.03,"Maju dan Tumbuh Cepat"
provinsi,19,,2,2024,1.3092,Basis,-570211471938.42,"Maju tapi Tertekan"
provinsi,19,,3,2024,0.9492,"Non Basis",-1063776475014.1,"Relatif Tertinggal"
provinsi,19,,4,2024,0.0958,"Non Basis",157468256.78,"Potensial / Cepat Berkembang"
provinsi,19,,5,2024,0.206,"Non Basis",242993157.38,"Potensial / Cepat Berkembang"
provinsi,19,,6,2024,0.8452,"Non Basis",-400694193054.12,"Relatif Tertinggal"
provinsi,19,,7,2024,1.0466,Basis,-454612306916.8,"Maju tapi Tertekan"
provinsi,19,,8,2024,0.8595,"Non Basis",-156879054902.46,"Relatif Tertinggal"
provinsi,19,,9,2024,0.872,"Non Basis",-82668203263.75,"Relatif Tertinggal"
provinsi,19,,10,2024,0.5054,"Non Basis",44364448816.47,"Potensial / Cepat Berkembang"
provinsi,19,,11,2024,0.4614,"Non Basis",-45970863144.37,"Relatif Tertinggal"
provinsi,19,,12,2024,1.2612,Basis,21992257480.27,"Maju dan Tumbuh Cepat"
provinsi,19,,13,2024,0.1311,"Non Basis",-2261105986.36,"Relatif Tertinggal"
provinsi,19,,14,2024,1.8098,Basis,78810030899.21,"Maju dan Tumbuh Cepat"
provinsi,19,,15,2024,0.9675,"Non Basis",111050293221.1,"Potensial / Cepat Berkembang"
provinsi,19,,16,2024,1.0121,Basis,-58022940849.51,"Maju tapi Tertekan"
provinsi,19,,17,2024,0.4014,"Non Basis",-8107727656.74,"Relatif Tertinggal"
provinsi,19,,1,2025,1.5989,Basis,-250782188863.7,"Maju tapi Tertekan"
provinsi,19,,2,2025,1.4202,Basis,450646289513.58,"Maju dan Tumbuh Cepat"
provinsi,19,,3,2025,0.9501,"Non Basis",-118631092359.27,"Relatif Tertinggal"
provinsi,19,,4,2025,0.0982,"Non Basis",963734172.79,"Potensial / Cepat Berkembang"
provinsi,19,,5,2025,0.211,"Non Basis",155983079.9,"Potensial / Cepat Berkembang"
provinsi,19,,6,2025,0.8121,"Non Basis",-266605570653.05,"Relatif Tertinggal"
provinsi,19,,7,2025,1.0521,Basis,-45040767283.8,"Maju tapi Tertekan"
provinsi,19,,8,2025,0.8423,"Non Basis",-83245435510.43,"Relatif Tertinggal"
provinsi,19,,9,2025,0.8954,"Non Basis",31313858401.25,"Potensial / Cepat Berkembang"
provinsi,19,,10,2025,0.5136,"Non Basis",13513335737.63,"Potensial / Cepat Berkembang"
provinsi,19,,11,2025,0.4521,"Non Basis",-37094400507.64,"Relatif Tertinggal"
provinsi,19,,12,2025,1.2768,Basis,4668104122.32,"Maju dan Tumbuh Cepat"
provinsi,19,,13,2025,0.13,"Non Basis",-3242906348.63,"Relatif Tertinggal"
provinsi,19,,14,2025,1.7584,Basis,-142903543378.23,"Maju tapi Tertekan"
provinsi,19,,15,2025,0.9935,"Non Basis",30662362404.43,"Potensial / Cepat Berkembang"
provinsi,19,,16,2025,1.0219,Basis,-548284430.43,"Maju tapi Tertekan"
provinsi,19,,17,2025,0.4023,"Non Basis",-4626696059.03,"Relatif Tertinggal"
provinsi,21,,1,2022,0.2298,"Non Basis",159806128934.46,"Potensial / Cepat Berkembang"
provinsi,21,,2,2022,1.5797,Basis,-2818386659786.3,"Maju tapi Tertekan"
provinsi,21,,3,2022,1.9501,Basis,-291718064030.12,"Maju tapi Tertekan"
provinsi,21,,4,2022,0.923,"Non Basis",161107529389.85,"Potensial / Cepat Berkembang"
provinsi,21,,5,2022,1.3687,Basis,12207671912.33,"Maju dan Tumbuh Cepat"
provinsi,21,,6,2022,1.8285,Basis,991369292797.75,"Maju dan Tumbuh Cepat"
provinsi,21,,7,2022,0.5958,"Non Basis",1132979861825.3,"Potensial / Cepat Berkembang"
provinsi,21,,8,2022,0.421,"Non Basis",465229718523.78,"Potensial / Cepat Berkembang"
provinsi,21,,9,2022,0.5977,"Non Basis",890507473398.78,"Potensial / Cepat Berkembang"
provinsi,21,,10,2022,0.504,"Non Basis",55098776998.51,"Potensial / Cepat Berkembang"
